"date","usd_rate","Open","High","Low","Vol.","Change %"
"05/26/2025","41.6416","41.4099","41.6416","41.3368","","0.49%"
"05/25/2025","41.4403","41.4403","41.4403","41.4403","","-0.19%"
"05/23/2025","41.5200","41.4750","41.6195","41.3980","","0.05%"
"05/22/2025","41.5010","41.4650","41.6230","41.3725","","0.08%"
"05/21/2025","41.4675","41.4700","41.5939","41.3630","","-0.10%"
"05/20/2025","41.5100","41.5000","41.6270","41.3650","","0.02%"
"05/19/2025","41.5000","41.5000","41.6603","41.2550","","-0.06%"
"05/16/2025","41.5250","41.5000","41.6256","41.3806","","0.13%"
"05/15/2025","41.4700","41.5000","41.5995","41.3800","","-0.04%"
"05/14/2025","41.4875","41.5550","41.6420","41.3905","","-0.14%"
"05/13/2025","41.5450","41.4750","41.6295","41.3823","","0.08%"
"05/12/2025","41.5100","41.5550","41.6431","41.4050","","-0.10%"
"05/09/2025","41.5500","41.5500","41.6409","41.4005","","0.00%"
"05/08/2025","41.5510","41.5500","41.6403","41.3830","","0.21%"
"05/07/2025","41.4650","41.4150","41.5829","41.3155","","0.02%"
"05/06/2025","41.4550","41.5500","41.6150","41.2145","","-0.21%"
"05/05/2025","41.5425","41.6500","41.7320","41.4715","","0.13%"
"05/02/2025","41.4870","41.4870","41.7832","41.4495","","0.00%"
"05/01/2025","41.4870","41.4870","41.6850","41.4240","","0.00%"
"04/30/2025","41.4870","41.5500","41.6304","41.2550","","-0.25%"
"04/29/2025","41.5900","41.7000","41.7520","41.2550","","-0.24%"
"04/28/2025","41.6881","41.6750","41.8757","41.5825","","-0.30%"
"04/25/2025","41.8150","41.6750","41.8358","41.6055","","0.24%"
"04/24/2025","41.7151","41.7450","41.8173","41.5430","","-0.11%"
"04/23/2025","41.7600","41.5400","41.7855","41.4650","","0.37%"
"04/22/2025","41.6050","41.4100","41.6250","41.2650","","0.51%"
"04/21/2025","41.3940","41.3550","41.4738","41.2080","","0.20%"
"04/18/2025","41.3100","41.3650","41.4868","41.1488","","-0.19%"
"04/17/2025","41.3900","41.3050","41.4650","41.1600","","0.22%"
"04/16/2025","41.2992","41.2000","41.3531","41.0665","","0.34%"
"04/15/2025","41.1600","41.4500","41.4500","41.1576","","-0.22%"
"04/14/2025","41.2500","41.3550","41.4958","41.2451","","-0.17%"
"04/11/2025","41.3200","41.4500","41.5042","41.3370","","-0.24%"
"04/10/2025","41.4200","41.3100","41.4414","41.2000","","0.27%"
"04/09/2025","41.3100","41.2000","41.5012","41.1805","","0.36%"
"04/08/2025","41.1600","41.0800","41.1970","41.0660","","0.19%"
"04/07/2025","41.0800","41.1700","41.2500","41.0250","","-0.05%"
"04/04/2025","41.1000","41.3000","41.3138","41.1195","","-0.32%"
"04/03/2025","41.2300","41.3500","41.4433","41.2155","","-0.22%"
"04/02/2025","41.3200","41.3500","41.4401","41.2420","","0.10%"
"04/01/2025","41.2800","41.4000","41.5229","41.2250","","-0.17%"
"03/31/2025","41.3500","41.5450","41.5745","41.3300","","-0.22%"
"03/28/2025","41.4400","41.5500","41.5880","41.4255","","-0.15%"
"03/27/2025","41.5023","41.5800","41.6179","41.4305","","-0.07%"
"03/26/2025","41.5300","41.2550","41.7126","41.2550","","-0.07%"
"03/25/2025","41.5600","41.6750","41.7677","41.4930","","-0.24%"
"03/24/2025","41.6590","41.4000","41.6928","41.3920","","0.29%"
"03/21/2025","41.5400","41.5250","41.6195","41.4500","","0.12%"
"03/20/2025","41.4900","41.5250","41.6176","41.4250","","-0.14%"
"03/19/2025","41.5462","41.5400","41.6481","41.4287","","-0.01%"
"03/18/2025","41.5500","41.5650","41.6366","41.4217","","0.00%"
"03/17/2025","41.5500","41.4850","41.6404","41.3525","","0.44%"
"03/14/2025","41.3700","41.5000","41.6295","41.3555","","-0.31%"
"03/13/2025","41.4997","41.4000","41.5877","41.3499","","-0.05%"
"03/12/2025","41.5200","41.4450","41.5745","41.3300","","0.21%"
"03/11/2025","41.4342","41.3550","41.4757","41.2355","","0.30%"
"03/10/2025","41.3100","41.2650","41.4145","41.1775","","0.51%"
"03/07/2025","41.1000","41.3000","41.3693","41.1455","","-0.24%"
"03/06/2025","41.2000","41.4500","41.5195","41.1995","","-0.24%"
"03/05/2025","41.3000","41.5500","41.5745","41.3225","","-0.29%"
"03/04/2025","41.4200","41.6000","41.7153","41.4100","","-0.31%"
"03/03/2025","41.5500","41.5500","41.7128","41.4750","","0.36%"
"02/28/2025","41.4000","41.5200","41.7395","41.3915","","0.00%"
"02/27/2025","41.4000","41.6400","41.7595","41.4525","","-0.43%"
"02/26/2025","41.5800","41.7500","41.8225","41.5555","","-0.36%"
"02/25/2025","41.7300","41.7600","41.8442","41.5950","","0.00%"
"02/24/2025","41.7300","41.6500","41.7835","41.5230","","0.31%"
"02/21/2025","41.6000","41.6900","41.7345","41.4750","","0.07%"
"02/20/2025","41.5690","41.6000","41.8083","41.5000","","-0.34%"
"02/19/2025","41.7100","41.6350","41.7638","41.5250","","0.19%"
"02/18/2025","41.6300","41.6000","41.7177","41.4505","","0.29%"
"02/17/2025","41.5100","41.6500","41.7627","41.4555","","-0.19%"
"02/14/2025","41.5876","41.6500","41.8184","41.4955","","-0.34%"
"02/13/2025","41.7300","41.6500","41.9032","41.5568","","-0.17%"
"02/12/2025","41.8000","41.5500","41.8443","41.5250","","0.15%"
"02/11/2025","41.7390","41.6000","41.7627","41.4170","","0.32%"
"02/10/2025","41.6050","41.5250","41.6627","41.3750","","0.25%"
"02/07/2025","41.5000","41.4800","41.6159","41.3205","","0.17%"
"02/06/2025","41.4302","41.6250","41.6916","41.3995","","-0.31%"
"02/05/2025","41.5600","41.8000","41.8545","41.5525","","-0.29%"
"02/04/2025","41.6800","41.6950","41.9022","41.6450","","0.14%"
"02/03/2025","41.6200","41.6900","41.9668","41.6505","","-0.05%"
"01/31/2025","41.6400","41.7500","41.9070","41.5755","","-0.31%"
"01/30/2025","41.7700","41.9100","42.0692","41.7245","","-0.30%"
"01/29/2025","41.8945","41.9700","42.0895","41.8005","","-0.01%"
"01/28/2025","41.9000","41.9500","42.5122","41.8175","","-0.12%"
"01/27/2025","41.9500","41.9500","42.0953","41.8200","","0.24%"
"01/24/2025","41.8500","41.9500","42.0814","41.8300","","-0.19%"
"01/23/2025","41.9300","42.0000","42.1009","41.9260","","-0.12%"
"01/22/2025","41.9800","42.1000","42.1765","41.9695","","-0.21%"
"01/21/2025","42.0700","42.1550","42.2508","42.0480","","-0.26%"
"01/20/2025","42.1800","42.1000","42.2309","42.0730","","0.21%"
"01/17/2025","42.0900","42.1500","42.2207","42.0325","","-0.09%"
"01/16/2025","42.1290","42.1950","42.2783","42.0737","","0.05%"
"01/15/2025","42.1100","42.2500","42.3130","42.1005","","-0.38%"
"01/14/2025","42.2700","42.3550","42.3710","42.1350","","-0.12%"
"01/13/2025","42.3200","42.2650","42.4020","42.1375","","0.21%"
"01/10/2025","42.2300","42.2500","42.3806","42.1425","","-0.39%"
"01/09/2025","42.3942","42.3013","42.4227","42.1325","","0.22%"
"01/08/2025","42.3000","42.2500","42.4230","42.1150","","0.14%"
"01/07/2025","42.2400","42.1500","42.3405","42.1050","","0.02%"
"01/06/2025","42.2300","42.0500","42.2830","42.0212","","0.19%"
"01/03/2025","42.1500","42.0500","42.1863","41.9895","","0.21%"
"01/02/2025","42.0600","42.0200","42.1333","41.9300","","0.38%"
"01/01/2025","41.9000","42.0100","42.0650","41.9050","","-0.14%"
"12/31/2024","41.9600","42.0850","42.1363","41.9254","","-0.26%"
"12/30/2024","42.0700","41.9550","42.0979","41.8400","","0.33%"
"12/27/2024","41.9300","41.8600","42.0320","41.8050","","0.29%"
"12/26/2024","41.8100","41.8500","42.0008","41.7632","","0.02%"
"12/25/2024","41.8000","41.9750","42.0045","41.7605","","-0.24%"
"12/24/2024","41.9000","42.0350","42.1495","41.8175","","-0.29%"
"12/23/2024","42.0200","41.8000","42.0514","41.7855","","0.26%"
"12/20/2024","41.9100","41.6000","41.9967","41.6000","","0.14%"
"12/19/2024","41.8500","41.9800","41.9978","41.6000","","-0.21%"
"12/18/2024","41.9400","41.8950","42.0045","41.6000","","0.14%"
"12/17/2024","41.8793","41.7850","41.9086","41.6000","","0.24%"
"12/16/2024","41.7800","41.6500","41.7977","41.5800","","0.48%"
"12/13/2024","41.5800","41.5500","41.7683","41.4750","","-0.05%"
"12/12/2024","41.6000","41.6900","41.7594","41.5080","","-0.12%"
"12/11/2024","41.6500","41.5500","41.7825","41.4830","","0.00%"
"12/10/2024","41.6500","41.5475","41.6970","41.4300","","0.28%"
"12/09/2024","41.5350","41.4550","41.6329","41.3780","","0.33%"
"12/06/2024","41.4000","41.5550","41.6225","41.3525","","-0.19%"
"12/05/2024","41.4800","41.6500","41.7260","41.4725","","-0.29%"
"12/04/2024","41.6000","41.7150","41.7444","41.5250","","-0.17%"
"12/03/2024","41.6700","41.6500","41.7795","41.5395","","0.05%"
"12/02/2024","41.6500","41.6050","41.7570","41.4505","","0.22%"
"11/29/2024","41.5600","41.5500","41.6606","41.4405","","-0.02%"
"11/28/2024","41.5700","41.5500","41.6668","41.4362","","0.12%"
"11/27/2024","41.5200","41.5725","41.6704","41.4355","","-0.06%"
"11/26/2024","41.5450","41.5050","41.6097","41.3000","","0.18%"
"11/25/2024","41.4700","41.3500","41.5628","41.2805","","0.66%"
"11/22/2024","41.2000","41.2750","41.4479","41.2250","","-0.07%"
"11/21/2024","41.2300","41.3258","41.3893","41.2000","","-0.15%"
"11/20/2024","41.2900","41.3000","41.3881","41.1705","","0.10%"
"11/19/2024","41.2500","41.3259","41.4223","41.1845","","0.36%"
"11/18/2024","41.1000","41.2500","41.4381","41.2250","","-0.48%"
"11/15/2024","41.3000","41.3000","41.3895","41.1780","","0.24%"
"11/14/2024","41.2000","41.4075","41.4600","41.1455","","-0.19%"
"11/13/2024","41.2800","41.3761","41.4795","41.2755","","-0.22%"
"11/12/2024","41.3700","41.2500","41.4908","41.2305","","0.07%"
"11/11/2024","41.3390","41.2500","41.4504","41.1925","","0.41%"
"11/08/2024","41.1700","41.3300","41.4762","41.1650","","-0.27%"
"11/07/2024","41.2800","41.3500","41.5033","41.2845","","-0.17%"
"11/06/2024","41.3500","41.4950","41.5495","41.2980","","0.12%"
"11/05/2024","41.3000","41.3500","41.5695","41.3125","","-0.22%"
"11/04/2024","41.3900","41.2500","41.5020","41.2200","","0.16%"
"11/01/2024","41.3240","41.2150","41.4195","41.1800","","0.45%"
"10/31/2024","41.1400","41.3500","41.3753","41.1405","","-0.22%"
"10/30/2024","41.2290","41.2750","41.3969","41.1900","","-0.22%"
"10/29/2024","41.3200","41.3500","41.4576","41.2405","","-0.19%"
"10/28/2024","41.4000","41.2500","41.4604","41.2000","","0.73%"
"10/25/2024","41.1000","41.2500","41.3755","41.1975","","-0.24%"
"10/24/2024","41.2000","41.2509","41.3551","41.1780","","-0.15%"
"10/23/2024","41.2600","41.2500","41.3528","41.1768","","0.27%"
"10/22/2024","41.1500","41.2500","41.4055","41.1725","","-0.36%"
"10/21/2024","41.3000","41.2500","41.3745","41.1825","","0.22%"
"10/18/2024","41.2100","41.2000","41.3052","41.1600","","0.07%"
"10/17/2024","41.1800","41.2500","41.3353","41.1450","","-0.10%"
"10/16/2024","41.2200","41.2500","41.3266","41.1100","","0.10%"
"10/15/2024","41.1800","41.2000","41.3303","41.0975","","0.15%"
"10/14/2024","41.1200","41.2500","41.3060","41.0780","","0.05%"
"10/11/2024","41.1000","41.2250","41.3082","41.0810","","-0.12%"
"10/10/2024","41.1500","41.2500","41.3210","41.0950","","0.00%"
"10/09/2024","41.1500","41.2500","41.3131","41.0805","","0.12%"
"10/08/2024","41.1000","41.2001","41.2945","41.0730","","-0.07%"
"10/07/2024","41.1300","41.1700","41.3097","41.1187","","0.02%"
"10/04/2024","41.1200","41.2450","41.3101","41.0995","","-0.10%"
"10/03/2024","41.1600","41.2600","41.3280","41.1350","","0.15%"
"10/02/2024","41.1000","41.2500","41.3587","41.1800","","-0.39%"
"10/01/2024","41.2600","41.1800","41.3381","41.1475","","0.39%"
"09/30/2024","41.1000","41.2500","41.3182","41.0935","","0.00%"
"09/27/2024","41.1000","41.1500","41.2920","41.1000","","-0.05%"
"09/26/2024","41.1200","41.2500","41.3550","41.1150","","-0.07%"
"09/25/2024","41.1500","41.4500","41.4750","41.1555","","-0.36%"
"09/24/2024","41.3000","41.4500","41.5433","41.2745","","-0.24%"
"09/23/2024","41.4000","41.3400","41.4970","41.2450","","0.49%"
"09/20/2024","41.2000","41.4000","41.4804","41.2355","","-0.24%"
"09/19/2024","41.3000","41.4750","41.5356","41.3200","","-0.34%"
"09/18/2024","41.4400","41.4500","41.5493","41.3420","","-0.02%"
"09/17/2024","41.4500","41.4650","41.5445","41.2977","","0.02%"
"09/16/2024","41.4400","41.3500","41.5420","41.2610","","0.27%"
"09/13/2024","41.3300","41.2500","41.4345","41.1985","","0.56%"
"09/12/2024","41.1000","41.1500","41.3595","41.1280","","0.24%"
"09/11/2024","41.0000","41.1250","41.3107","41.0800","","-0.27%"
"09/10/2024","41.1100","41.1250","41.2469","41.0600","","0.02%"
"09/09/2024","41.1000","41.1250","41.2004","40.9850","","0.49%"
"09/06/2024","40.9000","41.1500","41.1866","40.8925","","-0.24%"
"09/05/2024","41.0000","41.3500","41.3500","41.0105","","-0.44%"
"09/04/2024","41.1800","41.3000","41.3675","41.1670","","-0.29%"
"09/03/2024","41.3000","41.2000","41.4250","41.1000","","0.27%"
"09/02/2024","41.1890","41.1500","41.2500","41.0125","","0.46%"
"08/30/2024","41.0000","41.1450","41.2007","40.5000","","-0.22%"
"08/29/2024","41.0900","41.2100","41.3521","41.0550","","-0.19%"
"08/28/2024","41.1700","41.3100","41.4425","41.1380","","-0.22%"
"08/27/2024","41.2600","41.3500","41.4809","41.2400","","-0.22%"
"08/26/2024","41.3500","41.3500","41.4926","41.2750","","0.32%"
"08/23/2024","41.2200","41.3500","41.4145","41.1605","","0.12%"
"08/22/2024","41.1706","41.3500","41.4225","41.1800","","-0.07%"
"08/21/2024","41.2000","41.3700","41.4445","40.6355","","-0.24%"
"08/20/2024","41.3000","41.4500","41.5004","41.2705","","-0.15%"
"08/19/2024","41.3600","41.2500","41.5253","41.1430","","0.41%"
"08/16/2024","41.1900","41.1500","41.3445","41.0830","","0.17%"
"08/15/2024","41.1200","41.2500","41.3500","41.1050","","0.05%"
"08/14/2024","41.1000","41.2500","41.4229","41.1500","","-0.24%"
"08/13/2024","41.2000","41.2500","41.4345","41.2168","","-0.17%"
"08/12/2024","41.2700","41.1500","41.3628","41.1000","","0.66%"
"08/09/2024","41.0000","40.9500","41.2354","40.9100","","0.49%"
"08/08/2024","40.8000","40.9300","41.0820","40.8075","","-0.05%"
"08/07/2024","40.8200","41.0500","41.1088","40.8455","","-0.20%"
"08/06/2024","40.9000","41.1750","41.2578","40.9505","","-0.49%"
"08/05/2024","41.1000","41.2500","41.3106","41.0575","","0.00%"
"08/02/2024","41.1000","41.0500","41.3345","41.0500","","-0.10%"
"08/01/2024","41.1400","41.0500","41.2155","40.9855","","0.59%"
"07/31/2024","40.9000","41.0500","41.1454","40.9250","","0.00%"
"07/30/2024","40.9000","41.0250","41.2756","40.9150","","-0.12%"
"07/29/2024","40.9500","41.0600","41.2455","40.9550","","-0.10%"
"07/26/2024","40.9900","41.2250","41.2753","41.0125","","-0.27%"
"07/25/2024","41.1000","41.2500","41.3253","41.0505","","-0.12%"
"07/24/2024","41.1500","41.2500","41.3802","41.1149","","-0.22%"
"07/23/2024","41.2410","41.6500","41.6500","41.1107","","-0.14%"
"07/22/2024","41.3000","41.5000","41.5430","41.0650","","-0.34%"
"07/19/2024","41.4400","41.5723","41.6230","41.4355","","-0.14%"
"07/18/2024","41.5000","41.5000","41.7096","41.2050","","0.12%"
"07/17/2024","41.4500","41.2500","41.5450","41.1250","","1.10%"
"07/16/2024","41.0000","41.0105","41.3381","40.8000","","0.00%"
"07/15/2024","41.0000","40.9500","41.1990","40.7000","","0.37%"
"07/12/2024","40.8500","40.9256","41.0938","40.8195","","-0.10%"
"07/11/2024","40.8900","40.8506","41.0452","40.5500","","0.71%"
"07/10/2024","40.6000","40.6950","40.8613","40.5350","","0.25%"
"07/09/2024","40.5000","40.7500","40.8778","40.5500","","0.00%"
"07/08/2024","40.5000","40.5500","40.7654","40.5250","","0.25%"
"07/05/2024","40.4000","40.4755","40.6638","40.3965","","-0.20%"
"07/04/2024","40.4800","40.7000","40.7756","40.4549","","-0.30%"
"07/03/2024","40.6004","40.8000","40.9065","40.5150","","0.12%"
"07/02/2024","40.5500","40.6750","40.8282","40.5350","","0.37%"
"07/01/2024","40.4000","40.5500","40.7228","40.4500","","0.00%"
"06/28/2024","40.4000","40.5500","40.6245","40.3675","","0.00%"
"06/27/2024","40.4000","40.5500","40.6480","40.3450","","-0.25%"
"06/26/2024","40.5000","40.6000","40.6363","40.3930","","0.25%"
"06/25/2024","40.4000","40.5500","40.7561","40.4400","","0.00%"
"06/24/2024","40.4000","40.5500","40.6628","40.3350","","0.00%"
"06/21/2024","40.4000","40.5500","40.7004","40.3650","","-0.05%"
"06/20/2024","40.4200","40.5500","40.6429","40.3650","","-0.20%"
"06/19/2024","40.5000","40.5500","40.6667","40.4075","","0.25%"
"06/18/2024","40.4000","40.5000","40.7251","40.4000","","-0.49%"
"06/17/2024","40.6000","40.7500","40.8038","40.4641","","-0.07%"
"06/14/2024","40.6300","40.7500","40.8600","40.4548","","0.07%"
"06/13/2024","40.6000","40.5500","40.8503","40.3800","","0.50%"
"06/12/2024","40.4000","40.5250","40.6503","40.2930","","-0.15%"
"06/11/2024","40.4600","40.5000","40.6613","40.3628","","0.40%"
"06/10/2024","40.3000","40.1500","40.5513","40.1300","","0.27%"
"06/07/2024","40.1900","40.1500","40.3590","40.0300","","0.47%"
"06/06/2024","40.0000","40.1500","40.2503","40.0225","","-0.12%"
"06/05/2024","40.0500","40.2500","40.3631","40.0550","","-0.50%"
"06/04/2024","40.2500","40.5000","40.5827","40.2295","","-0.12%"
"06/03/2024","40.3000","40.6500","40.6906","40.2955","","-0.49%"
"05/31/2024","40.5000","40.6000","40.7691","40.2500","","0.00%"
"05/30/2024","40.5000","40.3500","40.7354","40.2375","","0.12%"
"05/29/2024","40.4500","40.3500","40.5262","40.2000","","0.25%"
"05/28/2024","40.3500","40.3000","40.4583","40.1666","","0.87%"
"05/27/2024","40.0000","40.1500","40.3629","40.0750","","-0.25%"
"05/24/2024","40.1000","39.8450","40.2310","39.7950","","1.01%"
"05/23/2024","39.7000","39.8500","40.0263","39.7310","","-0.33%"
"05/22/2024","39.8310","39.7500","39.9227","39.6250","","0.20%"
"05/21/2024","39.7500","39.7000","39.8464","39.5499","","0.63%"
"05/20/2024","39.5000","39.4500","39.7505","39.3900","","0.13%"
"05/17/2024","39.4500","39.3750","39.5629","39.3050","","0.29%"
"05/16/2024","39.3360","39.5250","39.6628","39.3270","","-0.34%"
"05/15/2024","39.4700","39.6500","39.7411","39.4500","","-0.08%"
"05/14/2024","39.5000","39.6700","39.8076","39.5250","","-0.30%"
"05/13/2024","39.6200","39.6500","39.7710","39.4750","","0.30%"
"05/10/2024","39.5000","39.6500","39.8904","39.5230","","-0.30%"
"05/09/2024","39.6205","39.5000","39.7379","39.3150","","0.61%"
"05/08/2024","39.3804","39.2500","39.4628","39.2175","","0.31%"
"05/07/2024","39.2604","39.3750","39.4807","39.1925","","-0.05%"
"05/06/2024","39.2800","39.3800","39.6007","39.2070","","-0.05%"
"05/03/2024","39.3000","39.5500","39.6051","39.3075","","-0.33%"
"05/02/2024","39.4310","39.6500","39.7004","39.4280","","-0.30%"
"05/01/2024","39.5510","39.6510","39.7503","39.4668","","-0.15%"
"04/30/2024","39.6110","39.6500","39.7266","39.4087","","0.28%"
"04/29/2024","39.5000","39.6500","39.7603","39.5250","","0.00%"
"04/26/2024","39.5000","39.5500","39.7408","39.5022","","-0.07%"
"04/25/2024","39.5257","39.5400","39.7618","39.4250","","-0.06%"
"04/24/2024","39.5510","39.5005","39.6691","39.2050","","0.13%"
"04/23/2024","39.5000","39.7250","39.8000","39.5402","","-0.25%"
"04/22/2024","39.6000","39.9000","39.9450","39.6423","","-0.56%"
"04/19/2024","39.8250","39.5500","39.9336","39.5350","","1.08%"
"04/18/2024","39.4000","39.5500","39.7648","39.4725","","-0.40%"
"04/17/2024","39.5600","39.5900","39.6752","39.4700","","0.03%"
"04/16/2024","39.5500","39.5900","39.7402","39.4775","","0.08%"
"04/15/2024","39.5200","39.3500","39.6564","39.3250","","0.82%"
"04/12/2024","39.2000","39.3000","39.5059","39.1500","","-0.08%"
"04/11/2024","39.2300","39.0225","39.4804","38.9300","","0.59%"
"04/10/2024","39.0000","38.9500","39.1311","38.9005","","0.13%"
"04/09/2024","38.9500","38.9500","39.1539","38.3100","","0.08%"
"04/08/2024","38.9190","38.8500","39.1329","38.8000","","0.24%"
